Externe Nr;Kurzname;X-Koordinate;Y-Koordinate;Z-Koordinate;Langname;Übersetzung
341016;KHOW;6,957829710;51,218356320;;Hochdahl  Awanst;
152769;KHOZ;6,664602526;51,165622950;;Holzheim b Neuss;
153270;KHR;6,713346128;50,916346060;;Horrem;
135889;KHR U;;;;Horrem Übgbf;
134643;KHUB;6,446433500;50,800849380;;Hubertushof;
81927;KIMI;6,963018530;51,117251000;;Immigrath;
195347;KING;7,726219614;50,688871270;;Ingelbach;
154484;KIV;6,769167163;50,583079970;;Iversheim;
250332;KJU;6,580921720;50,344732830;;Jünkerath;
153049;KJUC;6,500425220;51,097083740;;Jüchen;
29322;KK;6,959362192;50,942905050;;Köln Hbf;
155648;KKA;7,005857809;50,931980220;;Köln-Kalk;
151605;KKAA;;;;Kaarster Bahnhof;
852855;KKAG;6,671334820;51,202393920;;Kaarst DB-Gr;
513457;KKAI;;;;Kaarst IKEA;
151316;KKAK;6,203224801;51,327195850;;Kaldenkirchen;
107795;HBHNH;;;;Brh Nordhafen;
138024;HBHP;8,591240466;53,591752520;;Brh-Speckenbütt;
908989;HBHSK;;;;Brh Kaiserhafen;
138248;HBHU;8,725409990;53,062369270;;Bremen-Huchting;
107818;HBHW;;;;Weddewarden;
107793;HBHWT;;;;Weddewarder Tief;
137562;HBI;;;;Brm Inlandshafen;
911808;HBI F;;;;Brm-Inlandshf If;
107798;HBIG;;;;Brh-Imsum DB-Gr;
135749;HBKB;9,047364234;52,267727020;;Bückeburg;
517086;HBKD;10,059185028;52,813760675;;Beckedorf;
211995;ELPE;7,157626620;51,712800420;;Lippe;
103671;ELPP;8,348749965;51,670712150;;Lippstadt;
908756;ELPPG;8,340167999;51,670532427;;Lippstadt Gbf;
103804;ELRN;7,760951111;51,543409620;;Lünern;
83782;ELS;7,629329316;51,220767000;;Lüdenscheid;
82073;ELSD;7,705187548;51,476517380;;Langschede;
82230;ELSN;7,826187553;51,410728390;;Lendringsen;
83162;ELSP;8,420492508;50,929278520;;Bad Laasphe;
82594;ELTF;7,987122847;51,007130580;;Kreuzt-Littfeld;
100982;ELUE;7,528883453;51,617021600;;Lünen Hbf;
100040;ELUS;7,518698892;51,607763950;;Lünen Süd;
211409;ELUT;7,225907841;51,982108590;;Lutum;
83329;ELUZ;8,173908482;50,966990340;;Lützel;
105353;EMAF;6,830203880;51,476487800;;Mathilde;
101220;EMAM;7,099579015;51,653819000;;Marl Mitte;
100750;EMAN;7,644105860;51,541905310;;Massen;
85084;EMAR;8,854844481;51,462728480;;Marsberg;
107095;EMDG;;;;Menden DB-Gr;
82222;EMED;7,792265253;51,435252590;;Menden;
82644;EMEG;8,065505136;51,122527800;;Lennest-Meggen;
210104;EMEK;7,572587495;51,923206690;;Mecklenbeck;
210542;EMES;7,737397745;51,762073280;;Mersch;
86181;EMEU;7,807926403;51,428154440;;Menden Süd;
102574;EMHD;6,906174479;51,809177640;;Marbeck-Heiden;
104000;EMHM;7,131079132;51,682692540;;Marl-Hamm;
102830;EMHO;6,517755140;51,739180010;;Mehrhoog;
339598;EMIK;;;;Milke;
102814;EMIL;6,399617528;51,809712630;;Millingen;
82792;EMKE;7,703653930;51,269903630;;Mark Elverlings;
102186;EMLR;6,886659523;51,431279520;;Mülheim Hbf;
338830;EMMB;8,132801950;50,735848470;;Mannesmann;
103044;EMOE;6,688090014;51,579821960;;Möllen;
102418;EMRS;6,850532801;51,426630930;;Mh-Speldorf;
134940;EBIO;8,559440636;52,023921140;;Bielefeld Ost;
107826;EBIS;8,520473471;51,964995780;;Bielefeld-Senne;
105086;YBLAG;14,018425941;51,625423586;;RB-Gr km 113,750;
105087;YBLBN;14,128729105;51,589896107;;RB-Gr km 56,200;
105088;YBLBO;11,738548279;52,826364894;;RB-Gr km 33,030;
105089;YBLBW;12,475061417;52,105635355;;RB-Gr km 75,000;
105091;YBLDN;12,993392944;51,969653730;;RB-Gr km 67,600;
105092;YBLGB;12,844841480;52,564332017;;RB-Gr km 37,000;
105094;YBLGN;14,464702606;51,540943700;;RB-Gr km 18,500;
105480;YBLGS;14,458887577;51,551819155;;RB-Gr km 143,562;
102319;EESA;7,023288183;51,422388010;;Essen-Stadtwald;
102301;EESD;7,023070580;51,440165030;;Essen Süd;
102087;EESO;7,088453853;51,444226550;;Essen-Steele Ost;
908736;EESOB;;;;E-Steele O Rbrü;
908738;EESOR;;;;E-Steele O R-au;
102095;EEST;7,076084399;51,450513780;;Essen-Steele;
102251;EEUE;7,068836857;51,428791260;;Essen-Überruhr;
101550;EEVL;6,984108630;51,484795510;;Essen-Vogelheim;
102335;EEWD;6,997833141;51,386912550;;Essen-Werden;
197848;EEZB;7,686979835;50,781363000;;Etzbach;
637876;EEZK;7,689545450;50,782527090;;Krages;
195453;EFBU;7,896065861;50,816043250;;Freusbg Siedlung;
100495;EFEL;6,973324742;51,614787800;;Feldhausen;
83386;EFER;8,008978556;50,959503900;;Ferndorf/Siegen;
83196;EFEU;8,329387355;50,940852640;;Feudingen;
102731;EFFD;6,645466657;51,628500370;;Friedrichsfeld;
81711;EFLA;;;;Flandersbach;
105122;EFMK;7,788736460;51,698957040;;Feldmark;
82057;EFOE;7,761829742;51,471213760;;Fröndenberg;
82677;EFP;7,964544610;51,173301060;;Finnentrop;
81976;EFRE;8,169342308;51,366404770;;Freienohl;
80101;EFRM;7,735915637;51,499203050;;Fröndenberg-Frömern;
101444;EG;7,102374079;51,504732580;;Gelsenk Hbf;
105148;EGAB;7,815807260;51,657671440;;Gallberg;
82289;EGAR;7,839848126;51,321305880;;Garbeck;
909813;EGB;7,132503450;51,525471940;;Strw 2205/2206;
100438;EGBK;7,106608001;51,537213210;;Ge-Bismarck;
100180;EGBN;7,041658919;51,584549820;;Ge-Buer Nord;
100487;EGBO;6,994496864;51,575756110;;Gladbeck Ost;
100479;EGBS;7,039326748;51,549374990;;Ge-Buer Süd;
609966;EGBU;7,049959518;51,587029020;;Ge-Buer Nord Hp;
100198;EGBW;6,976800242;51,575356260;;Gladbeck West;
338228;EGDB;7,464956430;51,658028580;;Gerätedepot Bdw;
105155;EGED;6,941882900;51,503171870;;Gerschede;
80424;EGG;8,606905709;51,412721480;;Egger;
909848;EGHE;7,059736150;51,517592600;;Strw 2172/2230;
